"{""ObjectName"":""Tab"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,label,logo,type,properties,objectId,description,pageId,webURL,bpId,layoutId,websiteId,reportId,showRegion,openWay,showDeviceType,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,clob,string,string,string,string,string,string,string,string,numeric,numeric,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
001g0000015C8MLG3UBM,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:02,10gd00000150QfGpNugy,2023-07-25 02:42:02,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8MPTU2ym,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:03,10gd00000150QfGpNugy,2023-07-25 02:42:03,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8MSZw5AW,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:04,10gd00000150QfGpNugy,2023-07-25 02:42:04,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8MZ6i4eW,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:05,10gd00000150QfGpNugy,2023-07-25 02:42:05,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8McF9Iki,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:06,10gd00000150QfGpNugy,2023-07-25 02:42:06,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8Me6ORYu,NPNM__equipment_fix_management_workOrderListM,工单列表（维修人员）,menuicon icon-search,ViewTab,NULL,NULL,NULL,NULL,NPNM__workOrderListM,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:06,10gd00000150QfGpNugy,2023-07-26 03:12:44,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8Q0Wn680,NPNM__equipment_fix_management_monitor,设备监控,menuicon icon-app,WebsiteTab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,001T000001546pYnMykC,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:52,10gd00000150QfGpNugy,2023-07-25 02:42:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001g0000015C8Q5Jz7JY,NPNM__equipment_fix_management_monitor,设备监控,menuicon icon-app,WebsiteTab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,001T000001546pYnMykC,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:53,10gd00000150QfGpNugy,2023-07-25 02:42:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8Q7GL2Su,NPNM__equipment_fix_management_monitor,设备监控,menuicon icon-app,WebsiteTab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,001T000001546pYnMykC,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:53,10gd00000150QfGpNugy,2023-07-25 02:42:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C8QARcFrk,NPNM__equipment_fix_management_monitor,设备监控,menuicon icon-app,WebsiteTab,NULL,NULL,NULL,NULL,NULL,NULL,NULL,001T000001546pYnMykC,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:54,10gd00000150QfGpNugy,2023-07-25 02:42:54,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
